timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616527427849,9462,1,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 9,462 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1026,942,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,9462,0,129
1616527437313,4378,2,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,378 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1272,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4378,0,117
1616527441694,5208,3,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,208 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1026,968,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5208,0,122
1616527446903,6495,4,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 6,495 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1275,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,6495,0,118
1616527453399,5450,5,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,450 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1026,964,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5450,0,169
1616527458851,4299,6,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,299 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1280,927,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4299,0,113
1616527463152,4299,7,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,299 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1039,947,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4299,0,114
1616527467453,4097,8,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,097 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1039,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4097,0,117
1616527471552,4121,9,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 4,121 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1029,957,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,4121,0,120
1616527475675,5600,10,200,OK,Kcb_questions 1-1,text,false,"The operation lasted too long: It took 5,600 milliseconds, but should not have lasted longer than 3,000 milliseconds.",1091,951,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,5600,0,114
1616527481277,1190,11,200,OK,Kcb_questions 1-1,text,true,,1275,926,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,1190,0,115
1616527482469,154,12,200,OK,Kcb_questions 1-1,text,true,,1355,948,1,1,https://ncr-mt-en-us-qa.kitsys.net:8090/kai/api/v2/capi/user_message,154,0,0
